"Var1"	"n"
"1"	"AMA"	0.0967741935483871
"2"	"BOE"	0.032258064516129
"3"	"BOU"	0.161290322580645
"4"	"BRYCHCZYNSKI A"	0.032258064516129
"5"	"CAZ"	0.032258064516129
"6"	"CON"	0.032258064516129
"7"	"DAR"	0.0967741935483871
"8"	"DAU"	0.032258064516129
"9"	"FON"	0.032258064516129
"10"	"GAB"	0.0645161290322581
"11"	"GUI"	0.032258064516129
"12"	"HER"	0.032258064516129
"13"	"IRA"	0.0645161290322581
"14"	"JUM"	0.032258064516129
"15"	"LES"	0.032258064516129
"16"	"MAM"	0.032258064516129
"17"	"MAR"	0.0645161290322581
"18"	"O'B"	0.032258064516129
"19"	"PES"	0.0645161290322581
"Var1"	"n"
"1"	"AMA"	0.0967741935483871
"2"	"BOE"	0.032258064516129
"3"	"BOU"	0.161290322580645
"4"	"BRY"	0.032258064516129
"5"	"CAZ"	0.032258064516129
"6"	"CON"	0.032258064516129
"7"	"DAR"	0.0967741935483871
"8"	"DAU"	0.032258064516129
"9"	"FON"	0.032258064516129
"10"	"GAB"	0.0645161290322581
"11"	"GUI"	0.032258064516129
"12"	"HER"	0.032258064516129
"13"	"IRA"	0.0645161290322581
"14"	"JUM"	0.032258064516129
"15"	"LES"	0.032258064516129
"16"	"MAM"	0.032258064516129
"17"	"MAR"	0.0645161290322581
"18"	"O'B"	0.032258064516129
"19"	"PES"	0.0645161290322581
